Class,Precision,Recall,F1 Score,Accuracy
1,0.310869565,0.400560224,0.3500612,64.69
2,0.396226415,0.069536424,0.118309859,75.66
3,0.601659751,0.535055351,0.56640625,81.42
4,0.145654835,0.46124031,0.221395349,53.76
5,0.375796178,0.389438944,0.382495948,71.86
6,0.502747253,0.559633028,0.529667149,74.96
7,0.379844961,0.148484848,0.213507625,72.94
8,0.426332288,0.431746032,0.429022082,72.88
9,0.141176471,0.093023256,0.112149533,83.66
10,0.295597484,0.134670487,0.18503937,70.15
