FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
4.08311,3.85508,3.82919,1.40448,1.29722,1.09498,0.40395,0.277138,0.130259,7.66484,6.54276,5.6312,7.66484,6.54276,5.6312,5.49114,5.49107,5.49087,8.72459,8.72459,8.72457,15.6212,15.6212,15.6212,3.90934,3.90928,3.90907,4.48896,4.48887,4.48859,2.97889,2.68868,0.672529,20.0087,10.4327,7.73257,2.55704,2.54246,1.74456,6.97545,6.93624,6.90399,9.25202,5.39232,1.48121,19.1772,19.1772,13.2536,19.1772,0.834717,3.86881,3.50642,13.8359,5.20906,8.06307
4.26297,4.12017,4.08498,2.40646,2.31262,2.12559,0.368783,0.215338,0.0854388,16.856,15.3949,10.5267,16.856,15.3949,10.5267,9.39997,9.39996,9.39996,17.6146,17.6146,17.6146,15.0338,15.0338,15.0337,11.6077,11.6077,11.6076,10.865,10.8649,10.8649,21.8496,16.9714,12.2938,21.2837,12.3817,8.12874,4.82313,3.96674,2.14423,7.11947,7.04895,6.99274,7.61196,3.3387,2.40212,23.8327,23.8327,25.9124,23.8327,0.895828,7.79977,7.42586,17.767,5.80125,9.49535
4.51968,4.29368,3.98564,2.1615,1.96563,1.88289,0.39732,0.248947,0.106694,13.767,11.6125,10.1004,13.767,11.6125,10.1004,14.9534,14.9534,14.9533,24.5883,24.5883,24.5882,13.5573,13.5572,13.5572,10.8905,10.8905,10.8905,13.3415,13.3414,13.3414,8.97958,1.78853,1.34493,14.5116,9.97687,5.6979,5.87199,5.53266,5.28141,7.03991,7.03082,7.01409,18.6403,11.273,10.3986,26.3554,26.3554,20.8974,26.3554,0.904037,6.19563,9.3556,22.9164,14.7899,9.02897
6.59354,6.55634,5.23846,1.33867,1.33764,1.32004,0.351606,0.190876,0.099331,13.7814,11.7558,11.5702,13.7814,11.7558,11.5702,10.0833,10.0832,10.083,18.5615,18.5615,18.5615,22.828,22.828,22.828,5.80408,5.80405,5.80395,9.32815,9.32814,9.32808,4.02411,3.83283,1.6479,33.8114,21.0753,17.5771,8.51984,3.70775,1.97766,7.21367,7.09511,7.04934,10.506,3.08284,2.96968,23.9301,23.9301,23.1473,23.9301,0.909126,5.69689,6.57267,15.3785,7.08584,11.834
8.91911,8.77691,8.06913,8.27343,8.25915,8.2155,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,12.2406,12.2406,12.2405,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,60.0931,38.9573,15.6812,16.7495,14.1177,13.9575,11.4582,11.3833,11.3779,5.65685,5.65685,5.65685,23.4538,23.4538,4.0625,23.4538,0.978516,0,0,0,0,21.3104
5.565574,5.068447,4.974774,8.473385,7.931683,7.449301,0.4748698,0.2648792,0.1331441,14.21192,12.8442,11.84439,14.21192,12.8442,11.84439,19.91859,19.91858,19.91855,17.25938,17.25935,17.2593,22.79543,22.79542,22.79541,20.30888,20.30887,20.30883,19.69975,19.69973,19.69972,22.46187,8.367973,2.628896,27.03706,19.91984,18.06904,34.78132,33.27006,23.86357,6.063541,5.934595,5.84312,155.9544,43.16321,30.23276,26.62025,26.62025,27.54327,26.62025,0.8361072,18.29431,7.803133,17.34988,26.25279,12.50664
7.655509,6.80833,6.553916,8.420462,8.009626,6.151014,0.4974501,0.2553666,0.1128883,18.39928,16.43396,13.10339,18.39928,16.43396,13.10339,24.51259,24.51256,24.51255,21.49699,21.49699,21.49698,20.88196,20.88196,20.88191,13.48869,13.48863,13.4886,24.75347,24.75344,24.75341,160.5718,27.40717,20.59491,21.97921,16.17355,8.306439,27.64109,23.18231,5.360514,6.132866,6.072748,5.917864,113.1269,58.87265,11.42012,28.62263,28.62263,29.99228,28.62263,0.8337942,33.20706,8.938736,19.529,30.51557,16.57575
7.92575,7.13717,5.8552,7.22764,6.82352,5.69328,0.457791,0.255444,0.121762,13.7749,13.7144,12.5547,13.7749,13.7144,12.5547,26.1686,26.1686,26.1686,22.2514,22.2514,22.2513,26.2199,26.2199,26.2199,19.5609,19.5609,19.5608,24.9455,24.9455,24.9455,65.9797,34.1569,14.4565,26.8403,17.1993,14.7234,56.7864,36.2661,32.6204,6.25134,6.15762,5.8972,81.5409,66.8303,32.8431,23.3843,23.3843,27.0455,23.3843,0.862738,21.4089,7.45661,26.5248,23.3094,13.4365
5.27583,5.0746,4.73057,4.22744,3.56008,3.4963,0.48495,0.253911,0.0858449,13.4607,9.93786,9.90164,13.4607,9.93786,9.90164,26.281,26.2809,26.2809,23.9202,23.9202,23.9202,29.8638,29.8638,29.8637,20.1728,20.1728,20.1728,26.1212,26.1212,26.1211,61.51,19.2432,10.3936,40.8703,12.6604,3.41748,31.7673,8.66248,1.88469,5.91276,5.85978,5.82165,38.1599,16.3977,9.02654,19.2864,19.2864,23.0583,19.2864,0.804149,29.6288,9.63632,15.4752,23.7017,10.6724
6.91396,6.60192,5.98012,9.37295,8.18772,7.23544,0.462196,0.222767,0.078891,12.7652,12.5306,12.3232,12.7652,12.5306,12.3232,21.0927,21.0926,21.0926,20.0093,20.0093,20.0093,28.9346,28.9346,28.9345,17.2532,17.2532,17.2531,26.537,26.537,26.537,49.1417,31.7529,25.8258,43.3491,20.7599,12.8363,55.1628,37.7154,26.7765,6.56981,6.33948,6.06329,49.5942,46.7599,18.2139,25.233,25.233,26.8203,25.233,0.823391,28.2349,9.15561,15.5455,25.7099,15.0327
