FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
6.65387,5.63616,4.50908,3.04881,2.53514,2.44834,0.408561,0.247908,0.110774,20.9526,16.8885,16.4412,20.9526,16.8885,16.4412,19.1724,19.1724,19.1723,17.0501,17.0501,17.0501,16.2666,16.2666,16.2666,13.2198,13.2198,13.2198,15.2252,15.2252,15.2252,21.1103,2.94846,2.03996,40.7304,28.764,16.4382,14.4232,6.15746,4.16228,11.5894,11.4595,11.3983,25.1714,12.1247,6.58047,58.5778,58.5778,30.5735,58.5778,0.877369,6.35499,10.4781,14.0925,8.82221,10.8925
7.01088,6.44981,5.30795,4.99045,4.79948,4.52964,0.392383,0.215983,0.122287,24.1166,23.1109,20.8404,24.1166,23.1109,20.8404,19.9421,19.9421,19.9421,15.8615,15.8615,15.8615,24.1308,24.1308,24.1308,13.8002,13.8002,13.8002,19.3179,19.3179,19.3178,16.1704,13.1717,7.03534,32.7871,12.796,11.7046,17.8873,9.81557,4.63391,11.6895,11.6258,11.5758,17.9862,11.9874,6.16268,61.7516,61.7516,38.5122,61.7516,0.886258,10.849,10.391,29.9325,15.3467,13.0102
5.58294,4.71551,4.53339,2.5691,2.34102,1.79252,0.41658,0.251135,0.137088,30.1885,26.8437,24.9169,30.1885,26.8437,24.9169,20.0219,20.0219,20.0219,14.426,14.426,14.426,18.9109,18.9109,18.9109,14.3642,14.3642,14.3642,16.5581,16.5581,16.5581,12.9969,9.29742,5.54968,38.9564,22.653,20.1582,1.30167,1.22774,1.1885,11.7718,11.692,11.5029,29.0781,14.5835,8.88083,63.5798,63.5798,46.5064,63.5798,0.901516,6.66947,6.42965,17.1141,12.0419,10.4058
7.1393,6.61315,5.0352,4.96771,4.7661,4.31739,0.388509,0.217774,0.115375,23.064,21.3502,15.911,23.064,21.3502,15.911,22.0629,22.0629,22.0629,14.531,14.531,14.531,14.2576,14.2576,14.2576,13.4525,13.4525,13.4524,11.3135,11.3135,11.3135,11.4041,10.9264,7.92448,9.84922,2.94081,2.53082,36.7474,16.6918,11.295,11.577,11.4869,11.4753,17.5163,4.09009,2.08934,62.3128,62.3128,35.6224,62.3128,0.902292,4.74129,10.2051,18.5541,15.5569,12.0028
7.66722,7.10506,7.07925,3.31131,3.27599,3.24426,0.429612,0.263077,0.109729,24.8226,18.6838,17.8102,24.8226,18.6838,17.8102,19.9181,19.9181,19.9181,17.1042,17.1042,17.1041,15.5382,15.5382,15.5382,16.7862,16.7862,16.7861,16.0555,16.0555,16.0555,19.1116,6.03665,3.90104,50.4769,4.75039,1.34428,1.72838,0.881127,0.393513,11.9572,11.7611,11.7276,30.1272,9.85485,5.51943,80.4347,80.4347,33.4606,80.4347,0.883402,7.00195,10.8283,27.4752,9.27237,18.7118
6.83555,5.93789,5.36631,3.32509,2.87381,2.86667,0.417773,0.212446,0.122326,20.9394,18.4545,18.1135,20.9394,18.4545,18.1135,15.8508,15.8508,15.8507,16.5408,16.5408,16.5408,17.2712,17.2712,17.2712,15.8634,15.8634,15.8634,11.1561,11.1561,11.1561,1.67286,1.55102,1.53774,21.9709,11.4756,10.61,5.28487,2.5029,1.54251,11.9984,11.9513,11.8585,2.15658,1.41456,0.656579,78.6384,78.6384,35.0131,78.6384,0.882853,4.55583,11.341,20.6085,6.26252,10.7289
8.79695,6.75512,6.74127,1.617,1.60104,1.48649,0.368783,0.215468,0.113442,20.8642,20.2459,16.5319,20.8642,20.2459,16.5319,16.749,16.749,16.749,11.5733,11.5733,11.5732,17.0263,17.0263,17.0262,13.165,13.165,13.165,13.363,13.363,13.363,15.2402,15.0314,2.72191,32.0283,25.9238,19.3942,8.47159,8.43974,4.13203,12.2764,12.2479,12.1354,13.7493,5.26314,4.12582,67.881,67.881,30.7499,67.881,0.965034,4.724,10.9999,21.51,6.79104,15.2866
5.83313,4.94342,4.18759,2.96995,2.73474,2.41728,0.360829,0.159916,0.119451,20.5884,20.3046,19.853,20.5884,20.3046,19.853,20.2664,20.2663,20.2663,12.7027,12.7027,12.7026,20.7029,20.7029,20.7029,15.5711,15.571,15.5708,14.3399,14.3399,14.3399,7.82029,5.86613,5.08352,26.8719,5.9191,2.88326,11.2613,6.5335,2.49192,12.0266,12.0095,11.9956,40.8499,30.2518,16.7737,68.8205,68.8205,42.4248,68.8205,0.951292,5.62525,9.30662,20.7655,14.9065,10.0208
3.71224,3.61468,3.58544,4.46305,3.71573,3.5304,0.274555,0.110576,0.0157751,18.1118,17.4399,12.7113,18.1118,17.4399,12.7113,5.5556,5.55558,5.55556,8.03134,8.03129,8.03122,4.52166,4.52166,4.5216,15.7807,15.7806,15.7805,4.07393,4.07392,4.07387,5.03089,5.00023,1.63816,8.45369,6.12386,4.20431,24.0028,14.3559,5.86576,5.77188,5.76406,5.7379,6.54369,3.62598,3.60444,21.3254,21.3254,23.4817,21.3254,0.942204,5.21749,4.9633,4.07295,6.69992,8.33836
4.44053,4.18276,4.13732,7.47611,6.98454,6.91916,0.287391,0.0932753,0.0161425,16.3318,13.9363,12.4282,16.3318,13.9363,12.4282,19.1068,19.1067,19.1066,21.3724,21.3724,21.3723,13.4108,13.4107,13.4106,20.3478,20.3478,20.3478,15.4954,15.4953,15.4952,5.44637,5.01342,3.46581,14.6281,10.1745,8.01281,16.7688,6.61073,5.85611,6.09629,6.05674,5.99602,4.11858,3.74847,2.47014,28.3175,28.3175,22.8371,28.3175,0.939899,7.00202,6.69743,6.69803,8.77105,10.1811
