FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
0.888889,0.860116,0.848427,1.02222,0.910042,0.831298,0.492589,0.28798,0.0868922,16.5524,14.4538,12.2738,16.5524,14.4538,12.2738,28.1461,28.146,28.146,27.7634,27.7634,27.7633,31.3824,31.3824,31.3824,0.822244,0.822198,0.822058,20.583,20.583,20.583,32.6928,15.5001,10.2669,1.85902,0.801459,0.497619,1.67317,1.3317,1.25293,4.95481,4.91876,4.91425,54.8381,30.2173,20.226,10.9704,10.9704,23.4408,10.9704,0.781778,13.6751,14.2597,26.5367,23.5687,1.66818
1.04444,1.01428,0.892013,1.26667,0.706792,0.614175,0.511621,0.313418,0.0755674,34.0179,14.8488,9.4009,34.0179,14.8488,9.4009,18.7812,18.7812,18.7812,29.8679,29.8678,29.8677,29.8718,29.8718,29.8718,3.9422,3.94215,3.94203,26.2898,26.2898,26.2898,32.4901,5.70224,2.97759,2.20189,1.31493,1.31298,0.170261,0.0755665,-0.202078,4.86803,4.84338,4.82958,31.6603,19.6094,18.3085,7.88744,7.88744,32.0153,7.88744,0.763436,17.8221,14.645,25.8656,13.929,1.74454
1.08889,0.699174,0.676025,1.24444,0.796277,0.577778,0.461621,0.282905,0.0745841,22.407,19.2121,12.8758,22.407,19.2121,12.8758,25.5111,25.5111,25.5111,28.0861,28.0861,28.0861,29.3058,29.3058,29.3058,2.5703,2.57026,2.57012,25.3224,25.3224,25.3224,52.842,9.11219,4.19776,0.854192,0.598352,-0.236236,0.807115,0.287815,0.163628,4.78494,4.78368,4.78185,34.0673,4.4254,1.00071,10.6461,10.6461,31.6621,10.6461,0.777824,18.8337,12.7999,23.3188,20.479,1.42737
1.06667,0.580397,0.543421,1.04444,0.744445,0.718029,0.496463,0.257067,0.0622431,20.9662,14.7777,12.7895,20.9662,14.7777,12.7895,21.6907,21.6906,21.6906,27.9452,27.9452,27.9452,25.829,25.829,25.8289,3.90371,3.90366,3.90351,23.5023,23.5022,23.5022,28.1661,11.3399,6.20003,1.1759,0.512754,0.453779,1.23515,0.926097,0.118783,4.77749,4.75918,4.73262,37.6575,10.6889,9.14027,11.108,11.108,29.3381,11.108,0.74422,14.1154,19.0398,20.3492,12.0936,1.17551
1.11111,0.464775,0.451062,1.04444,0.677134,0.615351,0.514724,0.305364,0.0579623,24.7614,15.6581,11.3754,24.7614,15.6581,11.3754,21.2595,21.2595,21.2595,25.0067,25.0067,25.0067,26.7913,26.7913,26.7912,1.86191,1.86187,1.86173,21.1873,21.1873,21.1873,62.176,49.6354,5.9432,0.68748,-0.00227975,-0.124213,1.12143,0.618317,0.142762,4.87328,4.66233,4.59918,45.1255,35.7709,11.1217,8.07538,8.07538,30.0781,8.07538,0.719922,15.2821,12.6336,19.0569,20.341,1.00504
0.755556,0.540706,0.45341,1.15556,0.788205,0.662183,0.515918,0.248623,0.059451,23.0075,18.1765,18.0322,23.0075,18.1765,18.0322,22.636,22.636,22.636,26.6267,26.6266,26.6266,27.0198,27.0198,27.0198,-0.0288994,-0.0289504,-0.0291034,24.1593,24.1593,24.1593,26.7519,21.7938,13.9498,0.632148,0.536782,0.533361,2.88122,1.21092,0.499174,4.58325,4.5567,4.5504,44.4937,25.1417,9.49066,7.67894,7.67894,33.3969,7.67894,0.759371,13.3663,9.66222,24.245,15.7747,0.933117
1.20709,0.95633,0.87125,1.13333,0.871791,0.523365,0.491612,0.28278,0.0741883,30.1446,19.9178,13.2002,30.1446,19.9178,13.2002,23.5132,23.5132,23.5132,26.8806,26.8805,26.8805,30.8239,30.8239,30.8239,5.20117,5.20112,5.20099,25.2498,25.2498,25.2498,24.2578,18.7516,16.151,4.81543,0.512635,0.330351,1.07608,0.990238,0.330551,4.52824,4.5267,4.51952,83.8666,39.3923,35.9342,9.30394,9.30394,32.1715,9.30394,0.770966,15.1258,11.4943,21.1425,22.4629,2.21861
0.911111,0.510059,0.490385,0.977778,0.632466,0.570022,0.488748,0.282593,0.0627427,26.6399,12.7698,11.6717,26.6399,12.7698,11.6717,25.2209,25.2209,25.2209,27.8993,27.8993,27.8993,23.3804,23.3804,23.3803,-0.47932,-0.479408,-0.479673,16.8258,16.8258,16.8257,7.53149,7.4205,6.21346,0.879504,0.265635,0.121678,0.722272,0.523183,-0.035806,4.50653,4.47699,4.46454,53.0193,24.955,11.4593,9.67012,9.67012,27.8401,9.67012,0.771848,7.45715,8.73591,23.0607,18.1886,0.972864
1.02222,0.743774,0.451062,0.955556,0.674737,0.666457,0.488672,0.278058,0.0719264,18.3338,11.2415,9.88151,18.3338,11.2415,9.88151,22.6186,22.6185,22.6184,23.8653,23.8652,23.8652,25.9343,25.9343,25.9343,6.18531,6.18526,6.18512,21.5548,21.5548,21.5548,38.2298,19.6656,11.0973,0.0548248,-0.218535,-0.300138,1.17201,0.804028,0.743435,4.3494,4.33338,4.32867,29.4982,9.65091,3.8842,11.0646,11.0646,23.6948,11.0646,0.753199,14.4672,11.7713,15.487,15.7828,1.03328
1.02222,0.468412,0.434128,1.24444,0.953173,0.629055,0.504449,0.269837,0.0640517,9.71507,8.61242,8.5228,9.71507,8.61242,8.5228,25.0247,25.0247,25.0246,26.0511,26.0511,26.0511,25.1654,25.1654,25.1654,-0.378234,-0.378284,-0.378433,22.1362,22.1361,22.1361,34.7407,29.7063,5.18273,0.822795,0.352502,-0.033008,0.934089,0.765526,0.60373,4.27512,4.27488,4.24261,25.441,16.6458,7.72651,9.66326,9.66326,18.8016,9.66326,0.710975,12.4063,14.6649,23.3719,17.7442,0.988316
1.06667,0.965884,0.839008,1.33729,1,0.579278,0.521528,0.282283,0.0556783,13.9932,8.98904,8.51321,13.9932,8.98904,8.51321,21.9369,21.9369,21.9368,25.5545,25.5544,25.5544,27.8643,27.8643,27.8643,4.31393,4.31388,4.31372,25.9797,25.9797,25.9796,33.9459,14.6563,10.4537,2.90084,1.53558,0.793047,1.63272,1.11778,0.754161,4.24578,4.21546,4.20039,41.564,22.1869,20.0832,7.53307,7.53307,21.0221,7.53307,0.728318,16.5135,15.2047,19.3984,14.492,1.43654
0.777778,0.674577,0.467401,1.75556,0.865241,0.843694,0.442741,0.282973,0.0600002,14.7033,14.5372,11.1648,14.7033,14.5372,11.1648,21.1364,21.1363,21.1363,24.323,24.323,24.323,26.8516,26.8516,26.8516,3.60073,3.60067,3.60046,21.8139,21.8139,21.8139,20.1654,18.9675,8.26409,0.744479,0.39838,0.307423,0.473114,0.17265,-0.564852,4.46163,4.19207,4.16856,53.8319,19.2404,11.9246,7.90317,7.90317,23.6118,7.90317,0.790989,19.6198,14.4985,18.1619,16.7795,1.14592
0.866667,0.694872,0.53122,1.33333,0.908548,0.878919,0.476931,0.240681,0.0518883,13.4677,12.8114,12.5203,13.4677,12.8114,12.5203,21.4151,21.4151,21.4151,18.8797,18.8797,18.8797,25.3023,25.3023,25.3022,3.29517,3.29512,3.29496,18.1993,18.1993,18.1993,30.1347,10.3315,9.383,1.76447,-0.23251,-0.283432,0.639453,-0.00859619,-0.0482854,4.13291,4.08983,4.07164,27.2197,18.1626,9.62557,8.62572,8.62572,24.2698,8.62572,0.744076,7.3076,9.10644,18.121,11.5317,1.12006
1.08889,0.687629,0.634503,1.17778,0.912157,0.832993,0.46301,0.288589,0.0752432,15.9772,14.9546,12.7731,15.9772,14.9546,12.7731,25.0715,25.0715,25.0715,25.4982,25.4982,25.4982,22.7323,22.7323,22.7323,5.02348,5.02342,5.02324,19.0383,19.0383,19.0382,25.1724,18.7601,8.71341,0.0268488,0.0111203,-0.129369,1.09378,0.832217,0.240239,4.2745,4.07399,4.06025,14.4639,12.5787,8.77991,9.04219,9.04219,25.8247,9.04219,0.755905,10.5787,12.7163,12.1477,18.7076,0.995951
