FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
4.12021,3.82196,2.91456,6.71571,6.57809,6.2486,0.197342,0.0086924,0.00612851,6.82661,4.49251,3.68406,6.82661,4.49251,3.68406,2.19817,2.19812,2.19798,2.79521,2.79516,2.795,4.92601,4.92596,4.9258,15.9198,15.9198,15.9198,4.59287,4.59282,4.59266,0.353063,0.0409177,-0.37701,11.4367,6.45976,4.73044,24.9819,14.7508,11.7737,10.2323,9.92133,9.68223,2.47725,0.59656,0.443824,54.2395,54.2395,9.26508,54.2395,0.975873,2.31159,3.58406,2.3741,1.55927,7.23194
5.83545,5.58486,4.94854,6.47946,5.8257,5.70851,0.198633,0.00509543,0.00446482,4.15065,3.71471,3.09361,4.15065,3.71471,3.09361,3.42526,3.42521,3.42506,1.98424,1.98418,1.98401,4.56982,4.56978,4.56965,20.5375,20.5375,20.5375,1.33563,1.33554,1.3353,1.63738,0.288075,-0.446339,22.4927,18.8181,14.9299,38.8569,15.7433,15.4079,10.2657,10.0928,9.78126,0.625189,0.601679,0.421846,43.7848,43.7848,5.955,43.7848,0.975906,1.09959,0.990867,1.0435,1.05073,10.5671
5.69706,4.32292,4.27491,11.3164,6.66746,6.52241,0.17245,0.00434306,0.00321901,2.95365,2.49583,2.46916,2.95365,2.49583,2.46916,14.9376,14.9375,14.9374,12.463,12.463,12.4628,3.02962,3.02956,3.02939,24.8118,24.8117,24.8117,19.8299,19.8298,19.8297,10.5363,9.89949,9.89949,12.7221,6.90568,6.42137,9.68526,7.07151,3.98519,10.2911,10.2333,9.69492,6.2659,5.65685,5.65685,42.9412,42.9412,4.65632,42.9412,0.97919,3.53225,4.36179,2.18766,2.3628,10.475
8.09196,5.93038,5.6167,4.46275,4.22457,4.09039,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,25.9102,25.9102,25.9101,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,25.568,16.9401,14.6429,36.4762,19.3489,15.5338,10.5467,10.4244,9.97244,5.65685,5.65685,5.65685,44.1972,44.1972,4.0625,44.1972,0.978516,0,0,0,0,12.7083
9.40889,6.82029,6.25825,6.83728,6.30499,5.99708,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,23.2872,23.2872,23.2872,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,22.0262,19.7686,18.0621,52.9143,21.3967,13.1063,10.549,10.5313,9.87616,5.65685,5.65685,5.65685,43.1517,43.1517,4.0625,43.1517,0.978516,0,0,0,0,13.9739
6.56529,5.8497,5.08588,9.64514,8.59708,8.24094,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,22.6872,22.6872,22.6871,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,20.742,17.7749,12.4738,60.6207,37.24,20.9737,10.9945,10.7656,10.5433,5.65685,5.65685,5.65685,44.7146,44.7146,4.0625,44.7146,0.978516,0,0,0,0,12.0815
6.66004,5.66203,5.59382,8.06834,6.13575,6.05192,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,23.6234,23.6234,23.6233,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,24.6724,11.0611,8.86843,20.5343,15.6323,14.839,11.22,10.9053,10.6578,5.65685,5.65685,5.65685,56.6916,56.6916,4.0625,56.6916,0.978516,0,0,0,0,13.4038
9.42159,7.9345,6.62215,6.39469,6.36797,5.60876,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,26.3213,26.3213,26.3213,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,18.3616,13.9028,7.36348,58.8766,34.6447,4.96643,11.0241,10.9728,10.3494,5.65685,5.65685,5.65685,48.259,48.259,4.0625,48.259,0.978516,0,0,0,0,15.0136
5.16019,3.82546,3.64811,5.56269,5.06563,4.9391,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,23.4791,23.4791,23.4791,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,9.80172,7.64302,3.86735,36.4147,26.8968,8.65028,11.273,11.2111,10.6191,5.65685,5.65685,5.65685,48.3673,48.3673,4.0625,48.3673,0.978516,0,0,0,0,9.70145
4.38313,4.14342,3.94632,11.7681,9.05361,7.94644,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,26.4506,26.4506,26.4506,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,9.55691,8.57599,7.71215,31.0681,20.675,19.0057,11.7868,11.4046,11.3103,5.65685,5.65685,5.65685,50.4366,50.4366,4.0625,50.4366,0.978516,0,0,0,0,8.85478
5.66498,5.41203,5.0562,7.81526,7.39276,7.11077,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,4.39961,4.39959,4.39932,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,26.2981,19.1538,18.0169,47.6611,43.3169,19.3259,11.3564,10.7016,10.682,5.65685,5.65685,5.65685,55.2282,55.2282,4.0625,55.2282,0.978516,0,0,0,0,12.9039
4.78748,4.29411,3.94759,6.35915,6.28258,5.62009,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,25.4132,25.4131,25.4131,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,14.9471,10.224,7.46135,25.269,19.2733,6.53114,11.8755,11.604,11.2744,5.65685,5.65685,5.65685,58.6083,58.6083,4.0625,58.6083,0.978516,0,0,0,0,9.03484
7.30083,7.0656,6.05033,7.73178,7.51651,7.3985,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,24.6138,24.6138,24.6138,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,33.376,30.5963,19.0001,60.9377,37.6344,17.8758,11.9108,11.8226,11.7046,5.65685,5.65685,5.65685,52.9105,52.9105,4.0625,52.9105,0.978516,0,0,0,0,12.8585
5.23483,4.92861,4.25117,12.7936,8.04611,7.45977,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,25.2641,25.264,25.264,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,17.7068,17.0052,13.4526,15.8152,9.71628,7.89002,12.0535,12.0495,11.57,5.65685,5.65685,5.65685,49.8913,49.8913,4.0625,49.8913,0.978516,0,0,0,0,10.4793
4.50192,4.30394,3.52827,6.44849,5.72273,4.44838,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,24.6983,24.6983,24.6983,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,25.4021,12.5378,11.7746,33.3868,27.4349,27.3311,12.2341,12.1079,11.3592,5.65685,5.65685,5.65685,54.0831,54.0831,4.0625,54.0831,0.978516,0,0,0,0,8.43322
7.14036,6.93448,6.47708,11.0263,9.40764,8.66915,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,18.9439,18.9438,18.9437,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,15.1071,12.6438,9.80571,46.8822,4.23839,2.71463,12.4322,12.0693,11.6779,5.65685,5.65685,5.65685,54.4267,54.4267,4.0625,54.4267,0.978516,0,0,0,0,15.0584
5.70538,5.6975,5.3853,10.8271,9.5082,8.83852,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,17.7625,17.7625,17.7625,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,30.0952,26.5425,14.0495,67.9091,49.8017,47.8442,12.6858,12.3286,12.2442,5.65685,5.65685,5.65685,57.7981,57.7981,4.0625,57.7981,0.978516,0,0,0,0,12.402
7.17802,6.92395,6.56017,9.30152,6.30553,5.8127,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,25.8526,25.8526,25.8526,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,35.6631,20.0961,16.9932,40.0954,34.8022,20.3551,12.8369,12.7121,12.0855,5.65685,5.65685,5.65685,55.6974,55.6974,4.0625,55.6974,0.978516,0,0,0,0,13.6387
7.53663,6.57659,5.22956,8.11197,6.99871,6.6499,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,25.4188,25.4188,25.4188,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,25.466,16.4797,16.395,11.6591,11.0256,10.0754,13.0184,12.6194,12.3998,5.65685,5.65685,5.65685,61.7948,61.7948,4.0625,61.7948,0.978516,0,0,0,0,12.0348
0.911111,0.495236,0.403547,2.62062,2.53321,2.06284,0.668728,0.219243,0.146607,22.205,20.7447,8.09461,22.205,20.7447,8.09461,22.2452,22.2452,22.2451,15.7413,15.7413,15.7412,22.9485,22.9485,22.9484,9.00689,9.00684,9.0067,17.4071,17.4071,17.407,49.0435,42.6339,41.1209,0.204621,-0.0375974,-0.054629,9.01799,6.04623,3.88407,10.0834,10.0784,10.0079,69.6299,57.1186,38.5996,5.76083,5.76083,25.3771,5.76083,0.533846,23.2276,7.63782,5.22233,27.6263,0.848052
1,0.481285,0.415849,3.93022,3.4432,2.81689,0.596354,0.247313,0.0901028,31.4382,19.656,15.8188,31.4382,19.656,15.8188,29.3468,29.3467,29.3467,15.9205,15.9205,15.9204,23.8055,23.8055,23.8055,1.16956,1.16955,1.16951,27.6187,27.6187,27.6187,59.8057,35.2354,13.0323,-0.195637,-0.473387,-0.511255,13.848,13.6986,8.07396,9.77454,9.74928,9.70872,98.7421,53.0263,48.3352,6.33709,6.33709,35.2391,6.33709,0.584605,24.033,11.8976,7.27581,32.3049,0.953463
0.844444,0.622683,0.561953,4.24839,3.12945,2.25243,0.63342,0.238406,0.083236,28.2514,21.8307,13.6236,28.2514,21.8307,13.6236,26.9366,26.9366,26.9366,22.2229,22.2229,22.2229,23.3155,23.3155,23.3154,2.46288,2.46281,2.46261,26.2975,26.2975,26.2975,80.0179,39.8444,25.5103,0.919156,0.703197,0.197692,8.57645,2.87476,2.84583,9.70456,9.69873,9.69676,81.8264,68.885,56.0192,6.77945,6.77945,33.6183,6.77945,0.56454,24.8568,17.6591,8.06677,35.2978,1.24235
1,0,0,17,0,0,0.6467014,0.2369174,0.08521096,30.05823,16.82565,16.81144,30.05823,16.82565,16.81144,25.13172,25.1317,25.13169,22.99026,22.99025,22.99023,22.22071,22.22064,22.22043,3.0103,3.010244,3.010075,28.91024,28.91023,28.91021,53.40148,41.1081,26.20143,-1.414214,-1.414214,-1.414214,24.04163,24.04163,24.04163,9.743489,9.743489,9.743489,133.3305,59.91669,50.40572,0.1875,0.1875,34.99313,0.1875,0.5379033,30.0669,12.31112,5.548956,35.76744,0
